Created Date,Closed Date,Location Type,Incident Zip,City,Borough,Latitude,Longitude
12/31/15 5:38,12/31/15 6:36,Street/Sidewalk,11249,BROOKLYN,BROOKLYN,40.71775824,-73.95782213
12/31/15 5:43,12/31/15 12:27,Residential Building/House,10452,BRONX,BRONX,40.83032341,-73.92226604
12/31/15 5:56,12/31/15 6:36,Residential Building/House,10467,BRONX,BRONX,40.87492106,-73.87690615
12/31/15 6:12,12/31/15 16:26,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.65221852,-73.95765454
12/31/15 6:13,12/31/15 12:26,Residential Building/House,11415,KEW GARDENS,QUEENS,40.70874046,-73.82902083
12/31/15 8:40,12/31/15 13:28,Residential Building/House,11360,BAYSIDE,QUEENS,40.77845124,-73.78305442
12/31/15 8:52,12/31/15 11:26,Residential Building/House,10025,NEW YORK,MANHATTAN,40.79197655,-73.9675007
12/31/15 9:14,12/31/15 9:39,Street/Sidewalk,11237,BROOKLYN,BROOKLYN,40.70266565,-73.92671396
12/31/15 9:25,12/31/15 10:28,Residential Building/House,11238,BROOKLYN,BROOKLYN,40.68471098,-73.95708224
12/31/15 9:58,,Street/Sidewalk,,,Unspecified,,
12/31/15 10:17,12/31/15 15:22,Residential Building/House,11207,BROOKLYN,BROOKLYN,40.6821633,-73.89305401
12/31/15 10:18,12/31/15 10:55,Park/Playground,11214,BROOKLYN,BROOKLYN,40.60966562,-73.99974069
12/31/15 10:21,12/31/15 16:24,Residential Building/House,11226,BROOKLYN,BROOKLYN,40.6465213,-73.96032118
12/31/15 10:36,12/31/15 15:49,Residential Building/House,10451,BRONX,BRONX,40.81828913,-73.92016296
12/31/15 10:37,12/31/15 15:10,Residential Building/House,11213,BROOKLYN,BROOKLYN,40.668209,-73.93813557
12/31/15 10:56,12/31/15 15:37,Residential Building/House,11365,FRESH MEADOWS,QUEENS,40.73491319,-73.81062326
12/31/15 10:57,12/31/15 11:30,Residential Building/House,11209,BROOKLYN,BROOKLYN,40.62515765,-74.02310945
12/31/15 11:02,12/31/15 15:36,Residential Building/House,11365,FRESH MEADOWS,QUEENS,40.73491319,-73.81062326
12/31/15 11:05,12/31/15 14:19,Residential Building/House,10030,NEW YORK,MANHATTAN,40.81578666,-73.94482282
12/31/15 11:13,12/31/15 17:07,Residential Building/House,10040,NEW YORK,MANHATTAN,40.85844745,-73.92927889
12/31/15 11:16,12/31/15 14:51,Store/Commercial,10026,NEW YORK,MANHATTAN,40.80592625,-73.95425521
12/31/15 11:44,12/31/15 15:42,Residential Building/House,10453,BRONX,BRONX,40.85633849,-73.9016486
